journal_name	abbr_name	issn	eissn	impact_factor	impact_factor_5_year	category	jcr_quartile	rank	total_num_of_journals
National Science Review	NATL SCI REV	2095-5138	2053-714X	16.3	18.6	MULTIDISCIPLINARY SCIENCES	Q1	7	134
RENEWABLE & SUSTAINABLE ENERGY REVIEWS	RENEW SUST ENERG REV	1364-0321	1879-0690	16.3	16.8	GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY	Q1	3	91
IEEE Geoscience and Remote Sensing Magazine	IEEE GEOSC REM SEN M	2473-2397	2168-6831	16.2	15.6	REMOTE SENSING	Q1	1	62
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	ANGEW CHEM INT EDIT	1433-7851	1521-3773	16.1	16.2	CHEMISTRY, MULTIDISCIPLINARY	Q1	13	230
Journal of Eastern European and Central Asian Research	J E EUR CENT ASIAN R	2328-8272	2328-8280	1.6	1.4	ECONOMICS	Q2	273	597
Journal of Low Power Electronics and Applications	J LOW POWER ELECT AP		2079-9268	1.6		ENGINEERING, ELECTRICAL & ELECTRONIC	Q3	239	352
JOURNAL OF SEISMOLOGY	J SEISMOL	1383-4649	1573-157X	1.6	1.6	GEOCHEMISTRY & GEOPHYSICS	Q3	55	101
Journal of Thermal Science and Engineering Applications	J THERM SCI ENG APPL	1948-5085	1948-5093	1.6	1.6	THERMODYNAMICS	Q3	50	76
Lymphatic Research and Biology	LYMPHAT RES BIOL	1539-6851	1557-8585	1.6	2.4	PHYSIOLOGY	Q4	68	85
PACIFIC CONSERVATION BIOLOGY	PAC CONSERV BIOL	1038-2097	2204-4604	1.6	1.5	ECOLOGY	Q3	130	195
TOWN PLANNING REVIEW	TOWN PLAN REV	0041-0020	1478-341X	1.6	1.8	URBAN STUDIES	Q3	44	77
ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES	ASSAY DRUG DEV TECHN	1540-658X	1557-8127	1.6	2.2	PHARMACOLOGY & PHARMACY	Q3	259	354
ATMOSPHERE-OCEAN	ATMOS OCEAN	0705-5900	1480-9214	1.6	2.0	OCEANOGRAPHY	Q3	41	65
Birth Defects Research	BIRTH DEFECTS RES	2472-1727	2472-1727	1.6	2.7	TOXICOLOGY	Q4	90	106
CANADIAN JOURNAL OF PLANT PATHOLOGY	CAN J PLANT PATHOL	0706-0661	1715-2992	1.6	1.9	PLANT SCIENCES	Q3	138	265
CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY	CELEST MECH DYN ASTR	0923-2958	1572-9478	1.6	1.8	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS	Q3	70	135
Central European Public Administration Review	CENT EUR PUBLIC ADM	2591-2240	2591-2259	1.6	0.8	PUBLIC ADMINISTRATION	Q3	55	91
CULTURAL GEOGRAPHIES	CULT GEOGR	1474-4740	1477-0881	1.6	1.9	GEOGRAPHY	Q2	75	171
HEAT TRANSFER ENGINEERING	HEAT TRANSFER ENG	0145-7632	1521-0537	1.6	1.9	THERMODYNAMICS	Q3	50	76
IEEE PERVASIVE COMPUTING	IEEE PERVAS COMPUT	1536-1268	1558-2590	1.6	2.8	TELECOMMUNICATIONS	Q3	86	119
International Journal of Industrial Engineering Computations	INT J IND ENG COMP	1923-2926	1923-2934	1.6	1.9	OPERATIONS RESEARCH & MANAGEMENT SCIENCE	Q3	65	106
IRRIGATION AND DRAINAGE	IRRIG DRAIN	1531-0353	1531-0361	1.6	1.7	WATER RESOURCES	Q3	90	127
JOURNAL OF NEAR INFRARED SPECTROSCOPY	J NEAR INFRARED SPEC	0967-0335	1751-6552	1.6	1.8	SPECTROSCOPY	Q3	26	44
Journal of Signal Processing Systems for Signal Image and Video Technology	J SIGNAL PROCESS SYS	1939-8018	1939-8115	1.6	1.5	ENGINEERING, ELECTRICAL & ELECTRONIC	Q3	239	352
PLANT MOLECULAR BIOLOGY REPORTER	PLANT MOL BIOL REP	0735-9640	1572-9818	1.6	1.7	PLANT SCIENCES	Q3	138	265
SOUTH AFRICAN JOURNAL OF ECONOMICS	S AFR J ECON	0038-2280	1813-6982	1.6	1.6	ECONOMICS	Q2	273	597
SYNAPSE	SYNAPSE	0887-4476	1098-2396	1.6	1.9	NEUROSCIENCES	Q4	261	310
Traffic Injury Prevention	TRAFFIC INJ PREV	1538-9588	1538-957X	1.6	2.3	TRANSPORTATION	Q4	44	57
CLINICAL EEG AND NEUROSCIENCE	CLIN EEG NEUROSCI	1550-0594	2169-5202	1.6	1.9	PSYCHOLOGY	Q3	59	92
Conservation & Society	CONSERV SOC	0972-4923	0975-3133	1.6	2.5	ENVIRONMENTAL STUDIES	Q4	140	182
ECONOMICA	ECONOMICA	0013-0427	1468-0335	1.6	2.1	ECONOMICS	Q2	273	597
Journal of Clinical Medicine Research-Canada	J CLIN MED RES-CAN	1918-3003	1918-3011	1.6		MEDICINE, GENERAL & INTERNAL	Q2	124	325
Journal of Electromagnetic Engineering and Science	J ELECTROMAGN ENG SC	2671-7255	2671-7263	1.6	1.4	ENGINEERING, ELECTRICAL & ELECTRONIC	Q3	239	352
NEUROREPORT	NEUROREPORT	0959-4965	1473-558X	1.6	1.6	NEUROSCIENCES	Q4	261	310
SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY	SCAND J GASTROENTERO	0036-5521	1502-7708	1.6	2.3	GASTROENTEROLOGY & HEPATOLOGY	Q3	106	143
ANALYTICAL LETTERS	ANAL LETT	0003-2719	1532-236X	1.6	1.9	CHEMISTRY, ANALYTICAL	Q3	78	106
Biointerphases	BIOINTERPHASES	1934-8630	1559-4106	1.6	1.9	MATERIALS SCIENCE, BIOMATERIALS	Q4	47	53
Ethnobiology and Conservation	ETHNOBIOL CONSERV	2238-4782	2238-4782	1.6	1.5	BIODIVERSITY CONSERVATION	Q3	40	74
Journal of Mind and Medical Sciences	J MIND MED SCI	2392-7674	2392-7674	1.6	0.9	MEDICINE, GENERAL & INTERNAL	Q2	124	325
Journal of Transport and Land Use	J TRANSP LAND USE	1938-7849	1938-7849	1.6	2.5	TRANSPORTATION	Q4	44	57
Practice Periodical on Structural Design and Construction	PRACT PERIOD STRUCT	1084-0680	1943-5576	1.6	1.4	ENGINEERING, CIVIL	Q3	108	181
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART J-JOURNAL OF ENGINEERING TRIBOLOGY	P I MECH ENG J-J ENG	1350-6501	2041-305X	1.6	1.8	ENGINEERING, MECHANICAL	Q3	109	180
Zdravstveno Varstvo	ZDRAV VARST	0351-0026	1854-2476	1.6	1.4	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q3	273	403
ANTICANCER RESEARCH	ANTICANCER RES	0250-7005	1791-7530	1.6	1.8	ONCOLOGY	Q4	253	322
AUSTRAL ECOLOGY	AUSTRAL ECOL	1442-9985	1442-9993	1.6	1.7	ECOLOGY	Q3	130	195
GEMS & GEMOLOGY	GEMS GEMOL	0016-626X	2376-4473	1.6	2.4	MINERALOGY	Q2	15	30
Genes & Genomics	GENES GENOM	1976-9571	2092-9293	1.6	1.7	GENETICS & HEREDITY	Q3	143	191
Information Security Journal	INF SECUR J	1939-3555	1939-3547	1.6	1.8	COMPUTER SCIENCE, INFORMATION SYSTEMS	Q3	168	249
International Journal of E-Planning Research	INT J E-PLAN RES	2160-9918	2160-9926	1.6	1.5	REGIONAL & URBAN PLANNING	Q4	45	54
JOURNAL OF AMBULATORY CARE MANAGEMENT	J AMBUL CARE MANAG	0148-9917	1550-3267	1.6	1.3	HEALTH CARE SCIENCES & SERVICES	Q3	112	174
Journal of Electrical Engineering & Technology	J ELECTR ENG TECHNOL	1975-0102	2093-7423	1.6	1.4	ENGINEERING, ELECTRICAL & ELECTRONIC	Q3	239	352
JOURNAL OF IMMUNOLOGICAL METHODS	J IMMUNOL METHODS	0022-1759	1872-7905	1.6	1.9	IMMUNOLOGY	Q4	152	181
NETWORKS & SPATIAL ECONOMICS	NETW SPAT ECON	1566-113X	1572-9427	1.6	2.1	TRANSPORTATION SCIENCE & TECHNOLOGY	Q3	46	72
Organogenesis	ORGANOGENESIS	1547-6278	1555-8592	1.6	2.5	ENGINEERING, BIOMEDICAL	Q4	95	122
Cardiovascular Engineering and Technology	CARDIOVASC ENG TECHN	1869-408X	1869-4098	1.6	2.1	ENGINEERING, BIOMEDICAL	Q4	95	122
CHEMOECOLOGY	CHEMOECOLOGY	0937-7409	1423-0445	1.6	2.0	ECOLOGY	Q3	130	195
CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL	CURR THER RES CLIN E	0011-393X	1879-0313	1.6	1.8	MEDICINE, RESEARCH & EXPERIMENTAL	Q3	137	189
Journal of Clinical Virology Plus	J CLIN VIROL PLUS	2667-0380	2667-0380	1.6	1.6	VIROLOGY	Q4	33	41
Journal of Geophysics and Engineering	J GEOPHYS ENG	1742-2132	1742-2140	1.6	1.9	GEOCHEMISTRY & GEOPHYSICS	Q3	55	101
JOURNAL OF INTERVENTIONAL CARDIOLOGY	J INTERV CARDIOL	0896-4327	1540-8183	1.6	1.9	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	137	220
Journal of Medical and Biological Engineering	J MED BIOL ENG	1609-0985	2199-4757	1.6	1.8	ENGINEERING, BIOMEDICAL	Q4	95	122
Journal of Property Investment & Finance	J PROP INVEST FINANC	1463-578X	1470-2002	1.6	1.5	BUSINESS, FINANCE	Q3	125	231
Scientific Drilling	SCI DRILL	1816-8957	1816-3459	1.6	1.2	GEOSCIENCES, MULTIDISCIPLINARY	Q3	165	253
Transplant Immunology	TRANSPL IMMUNOL	0966-3274	1878-5492	1.6	1.5	TRANSPLANTATION	Q3	20	31
Accounting Perspectives	ACCOUNT PERSPECT	1911-382X	1911-3838	1.6	1.9	BUSINESS, FINANCE	Q3	125	231
ACTA OPTICA SINICA	ACTA OPT SIN	0253-2239	0253-2239	1.6	1.1	OPTICS	Q3	79	119
CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION	CHINESE J GEOPHYS-CH	0001-5733	0001-5733	1.6	1.4	GEOCHEMISTRY & GEOPHYSICS	Q3	55	101
ELECTRICAL ENGINEERING	ELECTR ENG	0948-7921	1432-0487	1.6	1.7	ENGINEERING, ELECTRICAL & ELECTRONIC	Q3	239	352
Information and Computer Security	INF COMPUT SECUR	2056-4961	2056-4961	1.6	2.1	COMPUTER SCIENCE, INFORMATION SYSTEMS	Q3	168	249
International Journal of Breast Cancer	INT J BREAST CANCER	2090-3170	2090-3189	1.6	1.9	ONCOLOGY	Q4	253	322
International Journal of Population Data Science (IJPDS)	INT J POPUL DATA SCI		2399-4908	1.6		SOCIAL SCIENCES, INTERDISCIPLINARY	Q2	81	263
Journal of Micro-Bio Robotics	J MICRO BIO ROBOT	2194-6418	2194-6426	1.6	1.5	ROBOTICS	Q3	34	46
JOURNAL OF SENSORY STUDIES	J SENS STUD	0887-8250	1745-459X	1.6	1.8	FOOD SCIENCE & TECHNOLOGY	Q3	126	173
MethodsX	METHODSX		2215-0161	1.6	2.1	MULTIDISCIPLINARY SCIENCES	Q2	61	134
Middle East Fertility Society Journal	MIDDLE EAST FERTIL S	1110-5690	2090-3251	1.6	1.5	REPRODUCTIVE BIOLOGY	Q4	32	39
Revista Portuguesa de Cardiologia	REV PORT CARDIOL	0870-2551	0304-4750	1.6	1.5	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	137	220
WATER INTERNATIONAL	WATER INT	0250-8060	1941-1707	1.6	2.6	WATER RESOURCES	Q3	90	127
Chinese Journal of Urban and Environmental Studies	CHIN J URBAN ENV STU	2345-7481	2345-752X	1.6	1.2	URBAN STUDIES	Q3	44	77
ELECTROMAGNETIC BIOLOGY AND MEDICINE	ELECTROMAGN BIOL MED	1536-8378	1536-8386	1.6	1.8	BIOPHYSICS	Q4	60	77
ISIJ INTERNATIONAL	ISIJ INT	0915-1559	1347-5460	1.6	1.8	METALLURGY & METALLURGICAL ENGINEERING	Q2	44	90
Journal of Ocean Engineering and Marine Energy	J OCEAN ENG MAR ENER	2198-6444	2198-6452	1.6		ENGINEERING, OCEAN	Q3	11	18
Journal of Public Mental Health	J PUBLIC MENT HEALTH	1746-5729	2042-8731	1.6	1.4	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q3	273	403
LICHENOLOGIST	LICHENOLOGIST	0024-2829	1096-1135	1.6	1.3	PLANT SCIENCES	Q3	138	265
NeuroSci	NEUROSCI-BASEL		2673-4087	1.6	1.5	NEUROSCIENCES	Q4	261	310
Team Performance Management	TEAM PERFORM MANAG	1352-7592	1758-6860	1.6	2.1	MANAGEMENT	Q3	280	401
WETLANDS ECOLOGY AND MANAGEMENT	WETL ECOL MANAG	0923-4861	1572-9834	1.6	1.6	WATER RESOURCES	Q3	90	127
Archives of Endocrinology Metabolism	ARCH ENDOCRIN METAB	2359-3997	2359-4292	1.6	1.8	ENDOCRINOLOGY & METABOLISM	Q4	149	186
Asia Pacific Allergy	ASIA PAC ALLERGY	2233-8276	2233-8268	1.6	1.7	ALLERGY	Q3	27	39
INTERNATIONAL JOURNAL OF CONTROL	INT J CONTROL	0020-7179	1366-5820	1.6	1.8	AUTOMATION & CONTROL SYSTEMS	Q3	58	84
JOURNAL OF INVASIVE CARDIOLOGY	J INVASIVE CARDIOL	1042-3931	1557-2501	1.6	1.5	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	137	220
Journal of Neuroscience Psychology and Economics	J NEUROSCI PSYCHOL E	1937-321X	2151-318X	1.6	1.4	PSYCHOLOGY, MULTIDISCIPLINARY	Q2	109	218
MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS	MICROSYST TECHNOL	0946-7076	1432-1858	1.6	1.6	PHYSICS, APPLIED	Q3	131	179
AQUATIC MICROBIAL ECOLOGY	AQUAT MICROB ECOL	0948-3055	1616-1564	1.6	1.4	MICROBIOLOGY	Q4	140	161
ARCTIC ANTARCTIC AND ALPINE RESEARCH	ARCT ANTARCT ALP RES	1523-0430	1938-4246	1.6	1.9	GEOGRAPHY, PHYSICAL	Q3	41	65
International Journal of Surgical Oncology	INT J SURG ONCOL	2090-1402	2090-1410	1.6	2.3	ONCOLOGY	Q4	253	322
Journal for Specialists in Group Work	J SPEC GROUP WORK	0193-3922	1549-6295	1.6	1.6	PSYCHOLOGY, CLINICAL	Q3	110	180
Journal of Water Sanitation and Hygiene for Development	J WATER SANIT HYG DE	2043-9083	2408-9362	1.6	1.6	WATER RESOURCES	Q3	90	127
Jurnal Tribologi	J TRIBOLOGI	2289-7232	2289-7232	1.6	1.2	ENGINEERING, MECHANICAL	Q3	109	180
MOLECULAR PHYSICS	MOL PHYS	0026-8976	1362-3028	1.6	1.6	PHYSICS, ATOMIC, MOLECULAR & CHEMICAL	Q3	26	40
NETWORKS	NETWORKS	0028-3045	1097-0037	1.6	3.7	OPERATIONS RESEARCH & MANAGEMENT SCIENCE	Q3	65	106
Qualitative Market Research	QUAL MARK RES	1352-2752	1758-7646	1.6	2.1	BUSINESS	Q3	210	302
Water Practice and Technology	WATER PRACT TECHNOL		1751-231X	1.6	1.3	WATER RESOURCES	Q3	90	127
Canadian Geriatrics Journal	CAN GERIATR J		1925-8348	1.6	2.7	GERIATRICS & GERONTOLOGY	Q4	57	74
Technology Innovation Management Review	TECHNOL INNOV MANAG	1927-0321	1927-0321	1.6	2.9	MANAGEMENT	Q3	280	401
TRANSPORTATION RESEARCH RECORD	TRANSPORT RES REC	0361-1981	2169-4052	1.6	1.9	TRANSPORTATION SCIENCE & TECHNOLOGY	Q3	46	72
Collnet Journal of Scientometrics and Information Management	COLLNET J SCIENTOMET	0973-7766	2168-930X	1.6	1.4	INFORMATION SCIENCE & LIBRARY SCIENCE	Q2	65	160
Iranian Journal of Medical Sciences	IRAN J MED SCI	0253-0716	1735-3688	1.6	1.8	MEDICINE, GENERAL & INTERNAL	Q2	124	325
Journal of Advanced Concrete Technology	J ADV CONCR TECHNOL	1346-8014	1347-3913	1.6	2.1	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q4	331	438
Journal of Aging Research	J AGING RES	2090-2204	2090-2212	1.6	3.1	GERIATRICS & GERONTOLOGY	Q4	57	74
Journal of Human Capital	J HUM CAPITAL	1932-8575	1932-8664	1.6	1.8	ECONOMICS	Q2	273	597
JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY	J PLANT BIOCHEM BIOT	0971-7811	0974-1275	1.6	1.7	PLANT SCIENCES	Q3	138	265
RADIO SCIENCE	RADIO SCI	0048-6604	1944-799X	1.6	1.7	TELECOMMUNICATIONS	Q3	86	119
Revista Espanola de Medicina Nuclear e Imagen Molecular	REV ESP MED NUCL IMA	2253-654X		1.6	1.2	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING	Q3	122	204
Romanian Journal of Internal Medicine	ROM J INTERN MED	1582-3296	2501-062X	1.6	1.7	MEDICINE, GENERAL & INTERNAL	Q2	124	325
Statistica	STATISTICA	0390-590X	1973-2201	1.6	1.7	STATISTICS & PROBABILITY	Q1	38	168
Visitor Studies	VISIT STUD	1064-5578	1934-7715	1.6	2.3	HOSPITALITY, LEISURE, SPORT & TOURISM	Q3	82	139
CHINESE JOURNAL OF ELECTRONICS	CHINESE J ELECTRON	1022-4653	2075-5597	1.6	1.1	ENGINEERING, ELECTRICAL & ELECTRONIC	Q3	239	352
IET Energy Systems Integration	IET ENERG SYST INTEG		2516-8401	1.6	2.0	ENGINEERING, ELECTRICAL & ELECTRONIC	Q3	239	352
International Journal of Innovation and Technology Management	INT J INNOV TECHNOL	0219-8770	1793-6950	1.6	2.2	MANAGEMENT	Q3	280	401
International Journal of Intelligent Engineering Informatics	INT J INTELL ENG INF	1758-8715	1758-8723	1.6	1.3	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS	Q3	125	169
MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION	MATER CORROS	0947-5117	1521-4176	1.6	1.8	METALLURGY & METALLURGICAL ENGINEERING	Q2	44	90
Toxicology and Environmental Health Sciences	TOXICOL ENV HEALTH	2005-9752	2233-7784	1.6		TOXICOLOGY	Q4	90	106
Communicable Diseases Intelligence	COMMUN DIS INTELL	0725-3141	2209-6051	1.6	1.5	INFECTIOUS DISEASES	Q4	100	132
ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES	ECHOCARDIOGR-J CARD	0742-2822	1540-8175	1.6	1.7	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	137	220
International Journal of Food Engineering	INT J FOOD ENG	2194-5764	1556-3758	1.6	2.0	FOOD SCIENCE & TECHNOLOGY	Q3	126	173
International Maritime Health	INT MARIT HEALTH	1641-9251	2081-3252	1.6	1.5	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q3	273	403
Iranian Journal of Biotechnology	IRAN J BIOTECHNOL	1728-3043	1728-3043	1.6	1.8	BIOTECHNOLOGY & APPLIED MICROBIOLOGY	Q4	141	174
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING	J IRRIG DRAIN ENG	0733-9437	1943-4774	1.6	1.8	WATER RESOURCES	Q3	90	127
Sensor Review	SENSOR REV	0260-2288	1758-6828	1.6	1.6	INSTRUMENTS & INSTRUMENTATION	Q3	48	76
Australian Journal of Civil Engineering	AUST J CIV ENG	1448-8353	2204-2245	1.6	1.8	ENGINEERING, CIVIL	Q3	108	181
Canadian Pharmacists Journal	CAN PHARM J	1715-1635	1913-701X	1.6	2.0	PHARMACOLOGY & PHARMACY	Q3	259	354
Central European Business Review	CENT EUR BUS REV		1805-4862	1.6	1.5	BUSINESS	Q3	210	302
JOURNAL OF ENVIRONMENTAL ENGINEERING	J ENVIRON ENG	0733-9372	1943-7870	1.6	1.8	ENVIRONMENTAL SCIENCES	Q4	282	358
Journal of Oleo Science	J OLEO SCI	1345-8957	1347-3352	1.6	1.8	FOOD SCIENCE & TECHNOLOGY	Q3	126	173
Journal of Superconductivity and Novel Magnetism	J SUPERCOND NOV MAGN	1557-1939	1557-1947	1.6	1.6	PHYSICS, CONDENSED MATTER	Q3	55	79
Biophysics and Physicobiology	BIOPHYS PHYSICOBIOL		2189-4779	1.6	1.4	BIOPHYSICS	Q4	60	77
Electrical Engineering & Electromechanics	ELECTR ENG ELECTROME	2074-272X	2309-3404	1.6	0.9	ENGINEERING, ELECTRICAL & ELECTRONIC	Q3	239	352
Journal of Gastrointestinal Cancer	J GASTROINTEST CANC	1941-6628	1941-6636	1.6	1.4	ONCOLOGY	Q4	253	322
Organization Technology and Management in Construction	ORGAN TECHNOL MANAG	1847-5450	1847-6228	1.6	1.7	MANAGEMENT	Q3	280	401
SOIL & SEDIMENT CONTAMINATION	SOIL SEDIMENT CONTAM	1532-0383	1549-7887	1.6	2.4	ENVIRONMENTAL SCIENCES	Q4	282	358
Advances in Astronomy	ADV ASTRON	1687-7969	1687-7977	1.6	1.3	ASTRONOMY & ASTROPHYSICS	Q3	51	84
Aerosol Science and Engineering	AEROSOL SCI ENG	2510-375X	2510-3768	1.6	1.6	ENVIRONMENTAL SCIENCES	Q4	282	358
AIMS Environmental Science	AIMS ENVIRON SCI	2372-0344	2372-0352	1.6	1.7	ENVIRONMENTAL SCIENCES	Q4	282	358
Future Cardiology	FUTUR CARDIOL	1479-6678	1744-8298	1.6	1.6	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	137	220
GROWTH HORMONE & IGF RESEARCH	GROWTH HORM IGF RES	1096-6374	1532-2238	1.6	1.7	ENDOCRINOLOGY & METABOLISM	Q4	149	186
Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia	ITAL J AGROMETEOROL	2038-5625	2038-5625	1.6	1.2	METEOROLOGY & ATMOSPHERIC SCIENCES	Q4	90	110
Journal of Vascular Access	J VASC ACCESS	1129-7298	1724-6032	1.6	1.9	PERIPHERAL VASCULAR DISEASE	Q3	65	96
MICROELECTRONICS RELIABILITY	MICROELECTRON RELIAB	0026-2714	1872-941X	1.6	1.6	PHYSICS, APPLIED	Q3	131	179
Preventive Nutrition and Food Science	PREV NUTR FOOD SCI	2287-1098	2287-8602	1.6		NUTRITION & DIETETICS	Q4	90	114
Systems Engineering	SYSTEMS ENG	1098-1241	1520-6858	1.6	2.0	OPERATIONS RESEARCH & MANAGEMENT SCIENCE	Q3	65	106
ACTA HISTOCHEMICA ET CYTOCHEMICA	ACTA HISTOCHEM CYTOC	0044-5991	1347-5800	1.6	1.8	CELL BIOLOGY	Q4	187	205
Nitrogen	NITROGEN-BASEL		2504-3129	1.6	1.6	ENVIRONMENTAL SCIENCES	Q4	282	358
BIOTECHNIC & HISTOCHEMISTRY	BIOTECH HISTOCHEM	1052-0295	1473-7760	1.6	2.0	CELL BIOLOGY	Q4	187	205
Journal of Economics	J ECON	0931-8658	1617-7134	1.6	1.4	ECONOMICS	Q2	273	597
JOURNAL OF THE CHINESE CHEMICAL SOCIETY	J CHIN CHEM SOC-TAIP	0009-4536	2192-6549	1.6	1.7	CHEMISTRY, MULTIDISCIPLINARY	Q3	152	230
Transactions on Electrical and Electronic Materials	TRANS ELECTR ELECTRO	1229-7607	2092-7592	1.6	1.6	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q4	331	438
Bioelectricity	BIOELECTRICITY	2576-3105	2576-3113	1.6	2.4	ELECTROCHEMISTRY	Q4	35	45
CANADIAN JOURNAL OF CHEMICAL ENGINEERING	CAN J CHEM ENG	0008-4034	1939-019X	1.6	2.0	ENGINEERING, CHEMICAL	Q3	113	170
THEORETICAL CHEMISTRY ACCOUNTS	THEOR CHEM ACC	1432-881X	1432-2234	1.6	1.7	CHEMISTRY, PHYSICAL	Q4	154	178
EUROPEAN PHYSICAL JOURNAL B	EUR PHYS J B	1434-6028	1434-6036	1.6	1.3	PHYSICS, CONDENSED MATTER	Q3	55	79
Reports of Biochemistry and Molecular Biology	REP BIOCHEM MOL BIOL	2322-3480	2322-3480	1.6	1.8	BIOCHEMISTRY & MOLECULAR BIOLOGY	Q4	268	313
SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE	S AFR J HIV MED	1608-9693	2078-6751	1.6	1.9	VIROLOGY	Q4	33	41
HIGH TEMPERATURE MATERIALS AND PROCESSES	HIGH TEMP MAT PR-ISR	0334-6455	2191-0324	1.6	1.4	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q4	331	438
SOFT MATERIALS	SOFT MATER	1539-445X	1539-4468	1.6	1.7	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q4	331	438
CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY	CHEM BIOCHEM ENG Q	0352-9568	1846-5153	1.6	1.6	ENGINEERING, CHEMICAL	Q3	113	170
International Journal of Mycobacteriology	INT J MYCOBACT	2212-5531	2212-554X	1.6	1.3	MICROBIOLOGY	Q4	140	161
JOURNAL OF THE CHILEAN CHEMICAL SOCIETY	J CHIL CHEM SOC	0717-9707	0717-9707	1.6	1.6	CHEMISTRY, MULTIDISCIPLINARY	Q3	152	230
Manufacturing Technology	MANUF TECHNOL	1213-2489	2787-9402	1.6		MATERIALS SCIENCE, MULTIDISCIPLINARY	Q4	331	438
SURFACE AND INTERFACE ANALYSIS	SURF INTERFACE ANAL	0142-2421	1096-9918	1.6	1.5	CHEMISTRY, PHYSICAL	Q4	154	178
Surface Science Spectra	SURF SCI SPECTRA	1055-5269	1520-8575	1.6	1.7	PHYSICS, CONDENSED MATTER	Q3	55	79
Geomatik	GEOMATIK		2564-6761	1.6		REMOTE SENSING	Q3	42	62
JOURNAL OF SURFACTANTS AND DETERGENTS	J SURFACTANTS DETERG	1097-3958	1558-9293	1.6	1.7	ENGINEERING, CHEMICAL	Q3	113	170
Tribology-Materials Surfaces & Interfaces	TRIBOL-MATER SURF IN	1751-5831	1751-584X	1.6	1.8	MATERIALS SCIENCE, COATINGS & FILMS	Q4	18	23
Biosurface and Biotribology	BIOSURF BIOTRIBOL	2405-4518	2405-4518	1.6		MATERIALS SCIENCE, BIOMATERIALS	Q4	47	53
POLYMER SCIENCE SERIES C	POLYM SCI SER C+	1811-2382	1555-614X	1.6	1.4	POLYMER SCIENCE	Q4	74	94
Wireless Power Transfer	WIREL POWER TRANSF	2052-8418	2052-8418	1.6	1.0	ENERGY & FUELS	Q4	143	170
International Journal of RF Technologies-Research and Applications	INT J RF TECHNOL-RES	1754-5730	1754-5749	1.6	0.6	COMPUTER SCIENCE, INFORMATION SYSTEMS	Q3	168	249
LIBRARY JOURNAL	LIBR J	0363-0277		1.6	3.7	INFORMATION SCIENCE & LIBRARY SCIENCE	Q2	65	160
Theory and Practice of Legislation	THEORY PRACT LEGIS	2050-8840	2050-8859	1.5	1.9	LAW	Q1	62	421
Nan Nu-Men Women and Gender in China	NAN NU	1387-6805	1568-5268	1.5	1.6	ASIAN STUDIES	N/A	0	0
Empirical Studies of the Arts	EMPIR STUD ARTS	0276-2374	1541-4493	1.5	1.6	PSYCHOLOGY, MULTIDISCIPLINARY	Q3	112	218
Nations and Nationalism	NATIONS NATL	1354-5078	1469-8129	1.5	1.9	SOCIOLOGY	Q2	102	217
Journal of Asian Public Policy	J ASIAN PUBLIC POLIC	1751-6234	1751-6242	1.5	1.9	AREA STUDIES	Q1	22	176
Cliometrica	CLIOMETRICA	1863-2505	1863-2513	1.5	1.7	HISTORY OF SOCIAL SCIENCES	Q1	3	42
REVIEW OF RELIGIOUS RESEARCH	REV RELIG RES	0034-673X	2211-4866	1.5	1.4	SOCIOLOGY	Q2	102	217
Morphology	MORPHOLOGY	1871-5621	1871-5656	1.5	1.7	LANGUAGE & LINGUISTICS	N/A	0	0
